,Streams,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Score,duration
645,91749,0.362,0.5589999999999999,0.679,0.00161,11,0.0559,-5.659,0,0.125,206.689,3,0.8079999999999999,-0.6777244733594688,189.0
646,282004,0.449,0.921,0.821,0.0,7,0.106,-5.097,1,0.0506,130.023,4,0.962,-0.0015507386242258779,176.0
647,85676,0.317,0.757,0.7909999999999999,0.0,4,0.0993,-5.532,0,0.195,144.018,4,0.448,-0.6472470877658322,188.0
648,14917,0.613,0.451,0.252,0.000682,2,0.115,-11.626,1,0.0288,80.158,4,0.115,-1.5132318168194863,199.0
649,1504835,0.0834,0.843,0.752,0.0,1,0.0955,-7.542000000000002,0,0.386,140.116,4,0.477,0.5904289261440058,199.0
650,1021541,0.552,0.846,0.685,0.0,4,0.375,-4.8180000000000005,0,0.0784,119.989,4,0.584,0.5938531912986255,203.0
651,1230287,0.172,0.745,0.35600000000000004,0.00943,1,0.123,-10.425,1,0.0941,160.033,4,0.607,0.7371585590643747,327.0
652,605024,0.501,0.605,0.55,1.64e-05,10,0.0977,-8.629,0,0.0353,94.023,4,0.154,0.4164540152308346,216.0
653,9646817,0.6,0.633,0.6579999999999999,0.0,4,0.0926,-6.167999999999998,0,0.16399999999999998,113.951,4,0.512,2.0230688952071776,229.0
654,150277,0.262,0.759,0.664,0.0,5,0.0715,-5.8,0,0.0841,111.993,4,0.477,-0.4253354291286458,247.0
655,25737,0.5670000000000001,0.443,0.654,0.0,5,0.127,-7.3439999999999985,0,0.35700000000000004,77.958,4,0.5,-1.3291726212258839,215.0
656,102269,0.8390000000000001,0.659,0.613,0.0,5,0.115,-7.382999999999999,0,0.0847,115.088,4,0.184,-0.7323297402659279,276.0
657,859723,0.00449,0.696,0.6679999999999999,0.0,11,0.102,-5.033,0,0.11,160.015,4,0.52,0.4711714891627076,124.0
658,52462,0.215,0.531,0.68,0.0,3,0.14,-5.89,1,0.214,84.02799999999998,4,0.413,-0.9505283925457628,222.0
659,301160,0.664,0.8540000000000001,0.585,0.0,8,0.107,-7.19,1,0.0723,106.996,4,0.8909999999999999,-0.1344072017945896,219.0
660,2919250,0.17600000000000002,0.6,0.667,0.0,11,0.127,-7.004,0,0.0685,80.07300000000002,4,0.239,0.9693753385092883,230.0
