,Streams,index,Artist,URL,id,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Score
691,1119632,2688,Jesper Jenset,https://open.spotify.com/track/04czWbqg96KSO8Szz8d0zp,04czWbqg96KSO8Szz8d0zp,0.00325,https://api.spotify.com/v1/audio-analysis/04czWbqg96KSO8Szz8d0zp,0.5920000000000001,176843,0.632,1.27e-06,0,0.11599999999999999,-6.229,1,0.0766,105.734,4,https://api.spotify.com/v1/tracks/04czWbqg96KSO8Szz8d0zp,audio_features,spotify:track:04czWbqg96KSO8Szz8d0zp,0.22899999999999998,0.3822954481988271
692,1263277,59860,Hamza,https://open.spotify.com/track/1oHh0DAi8nJDORn90H97QA,1oHh0DAi8nJDORn90H97QA,0.5539999999999999,https://api.spotify.com/v1/audio-analysis/1oHh0DAi8nJDORn90H97QA,0.5539999999999999,228413,0.49700000000000005,0.0,4,0.0871,-7.914,0,0.35200000000000004,84.499,4,https://api.spotify.com/v1/tracks/1oHh0DAi8nJDORn90H97QA,audio_features,spotify:track:1oHh0DAi8nJDORn90H97QA,0.45899999999999996,0.29527489899877046
693,3003249,44,Major Lazer,https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT,0L7loeTIg6akW84aEQZpCT,0.0375,https://api.spotify.com/v1/audio-analysis/0L7loeTIg6akW84aEQZpCT,0.746,166138,0.877,0.000833,9,0.233,-3.782,0,0.0666,107.985,4,https://api.spotify.com/v1/tracks/0L7loeTIg6akW84aEQZpCT,audio_features,spotify:track:0L7loeTIg6akW84aEQZpCT,0.7509999999999999,0.9123717610802482
694,464436,20635,Hearts & Colors,https://open.spotify.com/track/04CttTezSnv71USiiG9mIo,04CttTezSnv71USiiG9mIo,0.0178,https://api.spotify.com/v1/audio-analysis/04CttTezSnv71USiiG9mIo,0.595,218447,0.662,0.0,11,0.0804,-6.858,0,0.0362,96.053,4,https://api.spotify.com/v1/tracks/04CttTezSnv71USiiG9mIo,audio_features,spotify:track:04CttTezSnv71USiiG9mIo,0.41700000000000004,0.14459016393442622
695,269429,68468,Eminem,https://open.spotify.com/track/2rozzUGTRWqhTa2NzJAl8I,2rozzUGTRWqhTa2NzJAl8I,0.258,https://api.spotify.com/v1/audio-analysis/2rozzUGTRWqhTa2NzJAl8I,0.778,245467,0.7829999999999999,0.0,8,0.231,-4.534,1,0.239,109.911,4,https://api.spotify.com/v1/tracks/2rozzUGTRWqhTa2NzJAl8I,audio_features,spotify:track:2rozzUGTRWqhTa2NzJAl8I,0.285,0.06360424028268552
696,1089013,65763,Dadju,https://open.spotify.com/track/6RcunYh727ddHarRJ4mTIj,6RcunYh727ddHarRJ4mTIj,0.00549,https://api.spotify.com/v1/audio-analysis/6RcunYh727ddHarRJ4mTIj,0.755,224600,0.654,0.0,1,0.17800000000000002,-6.7860000000000005,0,0.048,99.984,4,https://api.spotify.com/v1/tracks/6RcunYh727ddHarRJ4mTIj,audio_features,spotify:track:6RcunYh727ddHarRJ4mTIj,0.537,0.25217391304347825
697,20865,2505,The xx,https://open.spotify.com/track/1onfcprzpSGh2LqrBh17AA,1onfcprzpSGh2LqrBh17AA,0.494,https://api.spotify.com/v1/audio-analysis/1onfcprzpSGh2LqrBh17AA,0.523,200627,0.591,0.511,1,0.0788,-8.772,1,0.0543,173.94,4,https://api.spotify.com/v1/tracks/1onfcprzpSGh2LqrBh17AA,audio_features,spotify:track:1onfcprzpSGh2LqrBh17AA,0.195,0.006756756756756757
698,21928,71971,Bruno Mars,https://open.spotify.com/track/5g7sDjBhZ4I3gcFIpkrLuI,5g7sDjBhZ4I3gcFIpkrLuI,0.0556,https://api.spotify.com/v1/audio-analysis/5g7sDjBhZ4I3gcFIpkrLuI,0.728,233653,0.6970000000000001,0.0,5,0.282,-4.125,1,0.0456,143.986,4,https://api.spotify.com/v1/tracks/5g7sDjBhZ4I3gcFIpkrLuI,audio_features,spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,0.87,0.005208333333333333
699,1018865,14454,Maître Gims,https://open.spotify.com/track/3up1uPuvL5vkfJ6aOeSRtD,3up1uPuvL5vkfJ6aOeSRtD,0.0232,https://api.spotify.com/v1/audio-analysis/3up1uPuvL5vkfJ6aOeSRtD,0.83,188040,0.765,0.0159,7,0.0754,-4.205,0,0.10099999999999999,102.02799999999999,4,https://api.spotify.com/v1/tracks/3up1uPuvL5vkfJ6aOeSRtD,audio_features,spotify:track:3up1uPuvL5vkfJ6aOeSRtD,0.36700000000000005,0.31143675256863734
700,52462,38823,Ash Kidd,https://open.spotify.com/track/3nnxxoByJdFYR0TYHghqli,3nnxxoByJdFYR0TYHghqli,0.215,https://api.spotify.com/v1/audio-analysis/3nnxxoByJdFYR0TYHghqli,0.531,221986,0.68,0.0,3,0.14,-5.89,1,0.214,84.02799999999999,4,https://api.spotify.com/v1/tracks/3nnxxoByJdFYR0TYHghqli,audio_features,spotify:track:3nnxxoByJdFYR0TYHghqli,0.413,0.015306122448979591
