,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
28,0.299,https://api.spotify.com/v1/audio-analysis/31J8vqtOHXRJ8rtWwQKLw3,0.797,217893,0.682,31J8vqtOHXRJ8rtWwQKLw3,0.0,6,0.0728,-5.65,0,0.145,122.978,4,https://api.spotify.com/v1/tracks/31J8vqtOHXRJ8rtWwQKLw3,audio_features,spotify:track:31J8vqtOHXRJ8rtWwQKLw3,0.434
29,0.461,https://api.spotify.com/v1/audio-analysis/7rULRGmvjAqqTtCTucjJbe,0.775,251227,0.623,7rULRGmvjAqqTtCTucjJbe,0.0,8,0.128,-5.958,1,0.357,129.58,4,https://api.spotify.com/v1/tracks/7rULRGmvjAqqTtCTucjJbe,audio_features,spotify:track:7rULRGmvjAqqTtCTucjJbe,0.507
30,0.534,https://api.spotify.com/v1/audio-analysis/0Wv5wuenRLI3BcwgT3HPIP,0.781,198286,0.765,0Wv5wuenRLI3BcwgT3HPIP,0.0,8,0.152,-4.092,1,0.0385,104.987,4,https://api.spotify.com/v1/tracks/0Wv5wuenRLI3BcwgT3HPIP,audio_features,spotify:track:0Wv5wuenRLI3BcwgT3HPIP,0.564
31,0.818,https://api.spotify.com/v1/audio-analysis/1wxBP4KwMN2UyMJc6S0GJn,0.868,183389,0.541,1wxBP4KwMN2UyMJc6S0GJn,0.00186,4,0.16,-9.996,0,0.233,113.118,4,https://api.spotify.com/v1/tracks/1wxBP4KwMN2UyMJc6S0GJn,audio_features,spotify:track:1wxBP4KwMN2UyMJc6S0GJn,0.517
32,0.576,https://api.spotify.com/v1/audio-analysis/0v9yrgq9lNv5RJ3NPkCxmg,0.759,204627,0.795,0v9yrgq9lNv5RJ3NPkCxmg,0.0,5,0.131,-7.508,0,0.203,120.215,4,https://api.spotify.com/v1/tracks/0v9yrgq9lNv5RJ3NPkCxmg,audio_features,spotify:track:0v9yrgq9lNv5RJ3NPkCxmg,0.934
33,0.342,https://api.spotify.com/v1/audio-analysis/2fXH2iei02pBaSIdn5X4zJ,0.3,236507,0.487,2fXH2iei02pBaSIdn5X4zJ,0.00295,7,0.125,-8.635,1,0.0515,165.794,4,https://api.spotify.com/v1/tracks/2fXH2iei02pBaSIdn5X4zJ,audio_features,spotify:track:2fXH2iei02pBaSIdn5X4zJ,0.502
34,0.745,https://api.spotify.com/v1/audio-analysis/661bbtA19xopO3lH0J4Qvr,0.549,227467,0.423,661bbtA19xopO3lH0J4Qvr,0.172,0,0.127,-8.885,0,0.0373,119.345,4,https://api.spotify.com/v1/tracks/661bbtA19xopO3lH0J4Qvr,audio_features,spotify:track:661bbtA19xopO3lH0J4Qvr,0.144
35,0.362,https://api.spotify.com/v1/audio-analysis/3daqmC2kTItwFF7A8C1VHu,0.709,227982,0.543,3daqmC2kTItwFF7A8C1VHu,0.0,3,0.0886,-8.056,1,0.0575,129.939,4,https://api.spotify.com/v1/tracks/3daqmC2kTItwFF7A8C1VHu,audio_features,spotify:track:3daqmC2kTItwFF7A8C1VHu,0.754
36,0.0121,https://api.spotify.com/v1/audio-analysis/3xf9GbVqLnDgL2x0xztcTV,0.835,162733,0.732,3xf9GbVqLnDgL2x0xztcTV,0.0,1,0.138,-5.045,1,0.0457,100.002,4,https://api.spotify.com/v1/tracks/3xf9GbVqLnDgL2x0xztcTV,audio_features,spotify:track:3xf9GbVqLnDgL2x0xztcTV,0.28
37,0.243,https://api.spotify.com/v1/audio-analysis/0MiEvNFDXMJpLVjbhX4dZG,0.604,216760,0.738,0MiEvNFDXMJpLVjbhX4dZG,0.0,8,0.141,-6.821,0,0.525,99.925,3,https://api.spotify.com/v1/tracks/0MiEvNFDXMJpLVjbhX4dZG,audio_features,spotify:track:0MiEvNFDXMJpLVjbhX4dZG,0.566
38,0.26,https://api.spotify.com/v1/audio-analysis/0fyRY1wwzxMVbU4UibH39K,0.455,207627,0.779,0fyRY1wwzxMVbU4UibH39K,0.0,3,0.17,-5.69,0,0.0656,94.365,4,https://api.spotify.com/v1/tracks/0fyRY1wwzxMVbU4UibH39K,audio_features,spotify:track:0fyRY1wwzxMVbU4UibH39K,0.507
39,0.0949,https://api.spotify.com/v1/audio-analysis/3T99a7Uu1iMKGcGDtGO636,0.748,256760,0.71,3T99a7Uu1iMKGcGDtGO636,0.0,11,0.102,-5.63,1,0.265,112.844,4,https://api.spotify.com/v1/tracks/3T99a7Uu1iMKGcGDtGO636,audio_features,spotify:track:3T99a7Uu1iMKGcGDtGO636,0.0943
40,0.158,https://api.spotify.com/v1/audio-analysis/0vPHA6ipjSD2B5lHKub21I,0.956,137133,0.726,0vPHA6ipjSD2B5lHKub21I,0.0,10,0.0673,-5.775,1,0.397,123.061,4,https://api.spotify.com/v1/tracks/0vPHA6ipjSD2B5lHKub21I,audio_features,spotify:track:0vPHA6ipjSD2B5lHKub21I,0.564
41,0.0871,https://api.spotify.com/v1/audio-analysis/6x8j5V85ZJHtvOSjSamcVc,0.971,140078,0.796,6x8j5V85ZJHtvOSjSamcVc,0.0,8,0.139,-5.731,0,0.306,120.039,4,https://api.spotify.com/v1/tracks/6x8j5V85ZJHtvOSjSamcVc,audio_features,spotify:track:6x8j5V85ZJHtvOSjSamcVc,0.821
42,0.0804,https://api.spotify.com/v1/audio-analysis/1MUxJxub6ovS0rzTHRgyoF,0.919,149258,0.876,1MUxJxub6ovS0rzTHRgyoF,0.0752,1,0.0596,-4.844,1,0.322,125.113,4,https://api.spotify.com/v1/tracks/1MUxJxub6ovS0rzTHRgyoF,audio_features,spotify:track:1MUxJxub6ovS0rzTHRgyoF,0.453
43,0.128,https://api.spotify.com/v1/audio-analysis/03i0AsAY16ND5XlawvTOAu,0.919,155120,0.879,03i0AsAY16ND5XlawvTOAu,0.0,1,0.0874,-4.28,1,0.291,114.045,4,https://api.spotify.com/v1/tracks/03i0AsAY16ND5XlawvTOAu,audio_features,spotify:track:03i0AsAY16ND5XlawvTOAu,0.571
44,0.176,https://api.spotify.com/v1/audio-analysis/359buFCogBGX23Dgdqcrws,0.94,171533,0.7,359buFCogBGX23Dgdqcrws,0.0,4,0.0994,-3.633,0,0.254,122.006,4,https://api.spotify.com/v1/tracks/359buFCogBGX23Dgdqcrws,audio_features,spotify:track:359buFCogBGX23Dgdqcrws,0.527
45,0.0472,https://api.spotify.com/v1/audio-analysis/2hgzdQdnfWwtdpZbhZlV72,0.757,218235,0.678,2hgzdQdnfWwtdpZbhZlV72,9.14e-06,8,0.0654,-5.529,0,0.233,120.075,4,https://api.spotify.com/v1/tracks/2hgzdQdnfWwtdpZbhZlV72,audio_features,spotify:track:2hgzdQdnfWwtdpZbhZlV72,0.82
46,0.155,https://api.spotify.com/v1/audio-analysis/4gDyoe1FImDlXVt58ssnMf,0.348,274587,0.712,4gDyoe1FImDlXVt58ssnMf,0.702,5,0.0683,-6.412,1,0.0335,73.102,4,https://api.spotify.com/v1/tracks/4gDyoe1FImDlXVt58ssnMf,audio_features,spotify:track:4gDyoe1FImDlXVt58ssnMf,0.424
47,0.164,https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn,0.335,241107,0.625,0bYg9bo50gSsH3LtXe2SQn,0.0,7,0.0708,-7.462,1,0.0386,150.277,4,https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn,audio_features,spotify:track:0bYg9bo50gSsH3LtXe2SQn,0.346
48,0.00251,https://api.spotify.com/v1/audio-analysis/1yNyoWWWikbLhwIGWjZuDW,0.563,197793,0.775,1yNyoWWWikbLhwIGWjZuDW,0.0,8,0.326,-6.433,1,0.0366,144.945,4,https://api.spotify.com/v1/tracks/1yNyoWWWikbLhwIGWjZuDW,audio_features,spotify:track:1yNyoWWWikbLhwIGWjZuDW,0.458
49,0.151,https://api.spotify.com/v1/audio-analysis/3aLSrx8qhssXrh5yjB6oy9,0.775,170323,0.722,3aLSrx8qhssXrh5yjB6oy9,0.000724,1,0.058,-3.502,1,0.0463,124.037,4,https://api.spotify.com/v1/tracks/3aLSrx8qhssXrh5yjB6oy9,audio_features,spotify:track:3aLSrx8qhssXrh5yjB6oy9,0.649
50,0.0284,https://api.spotify.com/v1/audio-analysis/66kQ7wr4d2LwwSjr7HXcyr,0.7,235540,0.615,66kQ7wr4d2LwwSjr7HXcyr,0.0133,8,0.0843,-5.387,1,0.0619,96.84,4,https://api.spotify.com/v1/tracks/66kQ7wr4d2LwwSjr7HXcyr,audio_features,spotify:track:66kQ7wr4d2LwwSjr7HXcyr,0.449
51,0.097,https://api.spotify.com/v1/audio-analysis/2rizacJSyD9S1IQUxUxnsK,0.662,194080,0.586,2rizacJSyD9S1IQUxUxnsK,0.00272,0,0.115,-8.821,1,0.0307,90.0,4,https://api.spotify.com/v1/tracks/2rizacJSyD9S1IQUxUxnsK,audio_features,spotify:track:2rizacJSyD9S1IQUxUxnsK,0.296
52,0.922,https://api.spotify.com/v1/audio-analysis/2q6tgiA9tpb6DMguABwCWE,0.422,269560,0.264,2q6tgiA9tpb6DMguABwCWE,0.0,8,0.132,-7.064,1,0.0322,119.93,4,https://api.spotify.com/v1/tracks/2q6tgiA9tpb6DMguABwCWE,audio_features,spotify:track:2q6tgiA9tpb6DMguABwCWE,0.331
53,0.446,https://api.spotify.com/v1/audio-analysis/1v1xEVIe3FWvFKalzBtKNO,0.691,218653,0.832,1v1xEVIe3FWvFKalzBtKNO,1.4e-06,8,0.159,-7.038,1,0.435,151.215,4,https://api.spotify.com/v1/tracks/1v1xEVIe3FWvFKalzBtKNO,audio_features,spotify:track:1v1xEVIe3FWvFKalzBtKNO,0.465
54,0.618,https://api.spotify.com/v1/audio-analysis/3YOW5BmyATjFdLThldbWCt,0.679,204733,0.718,3YOW5BmyATjFdLThldbWCt,0.0,11,0.115,-6.113,0,0.278,136.136,4,https://api.spotify.com/v1/tracks/3YOW5BmyATjFdLThldbWCt,audio_features,spotify:track:3YOW5BmyATjFdLThldbWCt,0.507
55,0.00826,https://api.spotify.com/v1/audio-analysis/6PC6ufeOBgh2cFcz0IcAUR,0.543,329200,0.968,6PC6ufeOBgh2cFcz0IcAUR,2.06e-05,11,0.328,-5.201,0,0.102,139.862,4,https://api.spotify.com/v1/tracks/6PC6ufeOBgh2cFcz0IcAUR,audio_features,spotify:track:6PC6ufeOBgh2cFcz0IcAUR,0.379
56,0.38,https://api.spotify.com/v1/audio-analysis/0e5IvZmQgPNHXJOWSRsz5z,0.756,206564,0.684,0e5IvZmQgPNHXJOWSRsz5z,0.0,9,0.121,-6.817,0,0.0679,117.092,4,https://api.spotify.com/v1/tracks/0e5IvZmQgPNHXJOWSRsz5z,audio_features,spotify:track:0e5IvZmQgPNHXJOWSRsz5z,0.497
57,0.211,https://api.spotify.com/v1/audio-analysis/6HViP4DVYa8gQtxLndmhwu,0.638,218480,0.629,6HViP4DVYa8gQtxLndmhwu,0.000653,10,0.164,-7.491,0,0.0834,99.973,4,https://api.spotify.com/v1/tracks/6HViP4DVYa8gQtxLndmhwu,audio_features,spotify:track:6HViP4DVYa8gQtxLndmhwu,0.337
58,0.186,https://api.spotify.com/v1/audio-analysis/0JiVRyTJcJnmlwCZ854K4p,0.676,161200,0.929,0JiVRyTJcJnmlwCZ854K4p,0.000405,10,0.121,-3.194,1,0.0458,97.019,4,https://api.spotify.com/v1/tracks/0JiVRyTJcJnmlwCZ854K4p,audio_features,spotify:track:0JiVRyTJcJnmlwCZ854K4p,0.157
59,0.0994,https://api.spotify.com/v1/audio-analysis/6LXRvh3S8TB5P1PKy4lY1S,0.79,206067,0.59,6LXRvh3S8TB5P1PKy4lY1S,0.00203,1,0.065,-9.206,0,0.0793,119.951,4,https://api.spotify.com/v1/tracks/6LXRvh3S8TB5P1PKy4lY1S,audio_features,spotify:track:6LXRvh3S8TB5P1PKy4lY1S,0.714
60,0.205,https://api.spotify.com/v1/audio-analysis/3LH6QXLJF4qKXyAY1OGvPf,0.831,233664,0.81,3LH6QXLJF4qKXyAY1OGvPf,1.12e-06,9,0.129,-4.938,0,0.11,105.055,4,https://api.spotify.com/v1/tracks/3LH6QXLJF4qKXyAY1OGvPf,audio_features,spotify:track:3LH6QXLJF4qKXyAY1OGvPf,0.531
61,0.321,https://api.spotify.com/v1/audio-analysis/1GKxhVz5MGdRfzNKBlAcnD,0.539,235333,0.599,1GKxhVz5MGdRfzNKBlAcnD,4.65e-05,2,0.149,-9.068,1,0.0327,104.998,4,https://api.spotify.com/v1/tracks/1GKxhVz5MGdRfzNKBlAcnD,audio_features,spotify:track:1GKxhVz5MGdRfzNKBlAcnD,0.274
62,0.116,https://api.spotify.com/v1/audio-analysis/3dufvPMvH8OVAGKAGL1B17,0.661,188640,0.592,3dufvPMvH8OVAGKAGL1B17,0.0,1,0.154,-5.118,1,0.614,123.985,4,https://api.spotify.com/v1/tracks/3dufvPMvH8OVAGKAGL1B17,audio_features,spotify:track:3dufvPMvH8OVAGKAGL1B17,0.328
63,0.188,https://api.spotify.com/v1/audio-analysis/6sO5rB2K8fIJVt11Omgw8Y,0.968,174853,0.589,6sO5rB2K8fIJVt11Omgw8Y,1.84e-06,10,0.0949,-8.593,0,0.0827,126.995,4,https://api.spotify.com/v1/tracks/6sO5rB2K8fIJVt11Omgw8Y,audio_features,spotify:track:6sO5rB2K8fIJVt11Omgw8Y,0.625
64,0.738,https://api.spotify.com/v1/audio-analysis/2BYiWgDk243sjYEDjs2agc,0.574,213653,0.551,2BYiWgDk243sjYEDjs2agc,0.0,2,0.0921,-9.977,0,0.46,126.984,4,https://api.spotify.com/v1/tracks/2BYiWgDk243sjYEDjs2agc,audio_features,spotify:track:2BYiWgDk243sjYEDjs2agc,0.596
65,0.368,https://api.spotify.com/v1/audio-analysis/4BwcvkALEWX18xXDgXSVb6,0.836,194080,0.499,4BwcvkALEWX18xXDgXSVb6,0.0,0,0.108,-7.282,1,0.118,133.988,4,https://api.spotify.com/v1/tracks/4BwcvkALEWX18xXDgXSVb6,audio_features,spotify:track:4BwcvkALEWX18xXDgXSVb6,0.51
66,0.321,https://api.spotify.com/v1/audio-analysis/3zLMWD22TUiKZ3L6FPjiCL,0.795,197587,0.663,3zLMWD22TUiKZ3L6FPjiCL,0.0,10,0.129,-6.263,0,0.218,102.05,4,https://api.spotify.com/v1/tracks/3zLMWD22TUiKZ3L6FPjiCL,audio_features,spotify:track:3zLMWD22TUiKZ3L6FPjiCL,0.464
67,0.0904,https://api.spotify.com/v1/audio-analysis/76a47vlZKvdJeotrpMYuvQ,0.784,226840,0.631,76a47vlZKvdJeotrpMYuvQ,0.00844,11,0.0264,-7.715,1,0.0958,87.955,4,https://api.spotify.com/v1/tracks/76a47vlZKvdJeotrpMYuvQ,audio_features,spotify:track:76a47vlZKvdJeotrpMYuvQ,0.964
68,0.018,https://api.spotify.com/v1/audio-analysis/0zCfmceT1YvtZXGbR6Roht,0.584,228173,0.752,0zCfmceT1YvtZXGbR6Roht,3.73e-06,8,0.647,-6.689,1,0.058,125.797,4,https://api.spotify.com/v1/tracks/0zCfmceT1YvtZXGbR6Roht,audio_features,spotify:track:0zCfmceT1YvtZXGbR6Roht,0.791
69,0.0364,https://api.spotify.com/v1/audio-analysis/7EI6Iki24tBHAMxtb4xQN2,0.628,215064,0.797,7EI6Iki24tBHAMxtb4xQN2,0.0,11,0.104,-3.953,0,0.0596,106.93,4,https://api.spotify.com/v1/tracks/7EI6Iki24tBHAMxtb4xQN2,audio_features,spotify:track:7EI6Iki24tBHAMxtb4xQN2,0.321
70,0.356,https://api.spotify.com/v1/audio-analysis/0P8n6AIBVc88gxbliu0lej,0.789,206427,0.667,0P8n6AIBVc88gxbliu0lej,0.0,9,0.163,-7.301,1,0.0514,132.009,4,https://api.spotify.com/v1/tracks/0P8n6AIBVc88gxbliu0lej,audio_features,spotify:track:0P8n6AIBVc88gxbliu0lej,0.731
71,0.182,https://api.spotify.com/v1/audio-analysis/0chdEzeIcgfNYbWJBpgvzR,0.612,274627,0.904,0chdEzeIcgfNYbWJBpgvzR,0.0,4,0.17,-6.076,0,0.429,75.801,4,https://api.spotify.com/v1/tracks/0chdEzeIcgfNYbWJBpgvzR,audio_features,spotify:track:0chdEzeIcgfNYbWJBpgvzR,0.555
